文物id,文物名称,文物来源,文物图标,文物颜色,文物描述
1,有瑕疵的耳环,森海山脉,wenwu_1,1,山缝里拾来的耳环，风吹雨打下早已失去往日的光泽。
2,蒙灰的水瓶,森海山脉,wenwu_2,1,不知是谁掉落的水瓶，水垢和灰尘厚到洗不掉。
3,破损的长裙,森海山脉,wenwu_3,1,一条精灵族的长裙，尽管破烂不堪，仍能看出工艺的精细。
4,月光小镜子,森海山脉,wenwu_4,1,一面巴掌大的小镜子，有少许裂痕，但仍光亮如新。
5,粉红珍珠串,森海山脉,wenwu_5,2,上等粉红珍珠做成的手串，岁月没有抹去珠母的光泽，依旧晶莹剔透。
6,祭祀残卷,森海山脉,wenwu_6,2,远古祭祀时遗留下来的书卷，由于残破加浸泡很多地方已看不清字。
7,水晶头冠,森海山脉,wenwu_7,3,水晶雕成的头冠，从光滑的切割面可以想象它戴在精灵族美丽的长发上的样子。
8,圆月弯刀,森海山脉,wenwu_8,3,如一弯新月般闪着冷冷寒光的锋利弯刀，从刀柄上可以看主人已用了很久。
9,碧龙之戒,森海山脉,wenwu_9,4,碧色的长龙盘成一个圆弧形，一枚做工精雕细琢的祭司戒指，其中蕴含的的法力隐隐透出微光。
10,女神光之项链,森海山脉,wenwu_10,5,一串由上等宝石打造而成的项链，巧夺天工令人赞叹，漆黑的夜里也散发着耀眼的光芒。
11,简陋的头巾,黑暗龙穴,wenwu_11,1,布制粗糙的简陋头巾，有被人强行撕开的痕迹，可能是做了用来包扎的布条。
12,旅人的皮囊袋,黑暗龙穴,wenwu_12,1,旅行人士常随身携带的皮囊袋，用来装清水或者美酒。如今袋子里已空无一物。
13,焦黑的长刀,黑暗龙穴,wenwu_13,1,被火焰烧的焦黑，一碰即裂的长刀。可能是某位勇士与龙博斗后留下的。
14,开裂的面具,黑暗龙穴,wenwu_14,1,一面做工良好的石龟面具，上面有被刀砍开的痕迹。
15,锐利的匕首,黑暗龙穴,wenwu_15,2,一把锋利短小的匕首，虽然有缺口，却依旧锋利如昔。
16,短管猎枪,黑暗龙穴,wenwu_16,2,短管的小型猎枪，很久没有使用过了，不知道枪上膛后还能不能正常射击。
17,猎龙战盔,黑暗龙穴,wenwu_17,3,屠龙勇士戴的战盔，做工笨重却威武，可以很好的抵御攻击。
18,驭龙颈环,黑暗龙穴,wenwu_18,3,龙所戴的颈环，还留有锁链的痕迹。从颈环的做工看，龙很受主人的喜欢。
19,远古魔典,黑暗龙穴,wenwu_19,4,远古时代残存留下的魔典，记载了不少龙族的历史与秘术。
20,雷霆斩剑,黑暗龙穴,wenwu_20,5,集合雷霆万钧之力的重剑，能砍裂坚硬的龙麟甲，龙族对它无计可施。
21,学徒胸针,守护之塔,wenwu_21,1,法师学徒留下的胸针，小小的甚是精美。上面还留有学徒的名字与等级。
22,生锈的果盘,守护之塔,wenwu_22,1,已经生出片片铁锈的果盘，上面刻有一些简单的图案。
23,掉漆的画框,守护之塔,wenwu_23,1,空荡荡的画框，金漆掉落露出里面的象牙质地，上面的画已荡然无存。
24,断裂的鹅毛笔,守护之塔,wenwu_24,1,已不能再使用的鹅毛笔，此笔是法师专用，金色的笔尖上有细小的符文和墨水痕迹。
25,黯淡斗篷,守护之塔,wenwu_25,2,已穿戴了很多年的旧斗篷，看样子是守塔人穿的，上面滴满了灯油。
26,庄严的画像,守护之塔,wenwu_26,2,一幅传世很久的大法师肖像画，从落款和画风可以看出它已摆在这里很久了。
27,传送秘典,守护之塔,wenwu_27,3,记载了各种秘法的宝典书，可以将使用者传送到任何想去的地方。
28,光辉宝典,守护之塔,wenwu_28,3,记载有各种光辉法术的宝典，是历代大法师的心血之作。
29,暗影法袍,守护之塔,wenwu_29,4,可以隐蔽在黑夜中的法袍，是昼伏夜出的黑魔法师的最爱。
30,苍穹圣法帽,守护之塔,wenwu_30,5,加持了圣法庇护的法帽，戴着它的法师在战场也是横行无阻。
31,坏掉的怀表,荆棘海岸,wenwu_31,1,精致的怀表，表链还是完整的。但是在海里跑了太久，时针已经停止走动了。
32,私藏的铜币,荆棘海岸,wenwu_32,1,海船上船员偷藏的钱币，好像是古早时期留下的，已不知道传了多少代了。
33,补丁皮手套,荆棘海岸,wenwu_33,1,打上了补丁的破手套，洗一洗大概勉强还能继续使用。
34,海盐结晶,荆棘海岸,wenwu_34,1,利用海水提纯而出的一小瓶海盐，可能是海员为了腌制鱼虾准备的。
35,航海望远镜,荆棘海岸,wenwu_35,2,航海必不可少的大宝贝。运用特殊材质做成，掉入海底也不会腐烂。
36,木制船舵,荆棘海岸,wenwu_36,2,不知是哪搜船上掉下来的船舵，从纹理和磨损的程度看，已经使用了很多年。
37,宝藏地图,荆棘海岸,wenwu_37,3,绘制有海湾中心宝藏的藏宝地图，可惜好几个重要路线已经磨损不清了。
38,深海之心吊坠,荆棘海岸,wenwu_38,3,巨大的蓝宝石吊坠，是价值连城的宝物，据说是大财主的珍藏品。
39,苍蓝之心戒指,荆棘海岸,wenwu_39,4,镶嵌有千中选一的海蓝钻石的精美戒指，据说是财主献给国王的礼物。
40,黄金风暴之剑,荆棘海岸,wenwu_40,5,纯金打造而成的宝剑，上手轻盈，却能战无不胜。
41,腐化的龙牙,龙翼巢穴,wenwu_41,1,一颗龙掉落的蛀牙，仿佛受到了什么东西的腐蚀而烂掉了一部分。
42,编织护腕,龙翼巢穴,wenwu_42,1,手工艺编织成的战斗护腕，据说这种护腕防毒又防火。
43,龙颚碎片,龙翼巢穴,wenwu_43,1,龙被打掉的下颚碎片化石，看来这里发生过非常惨烈的战斗。
44,龙身雕像,龙翼巢穴,wenwu_44,1,一座小小的神龙雕像，雕刻了至高无上的龙族形象。
45,纯净龙鳞,龙翼巢穴,wenwu_45,2,龙身上脱落的龙鳞，这些龙鳞比最硬的铁甲还要坚硬，几乎刀枪不入。
46,龙须药材,龙翼巢穴,wenwu_46,2,龙脱落的龙须，细长泛着微光，是一种做药剂或者魔杖的上等药材。
47,猛龙腰带,龙翼巢穴,wenwu_47,3,雕刻有猛龙图案的腰带，是屠龙团标志性的宝物。
